concelho,n_casos
Lisboa,187
Santo Tirso,8
Porto,137
Vila do Conde,8
Maia,119
Penafiel,7
Vila Nova de Gaia,83
Portimão,7
Valongo,71
Viana do Castelo,7
Gondomar,62
Aveiro,6
Ovar,58
Barreiro,6
Matosinhos,56
Vila Franca de Xira,6
Cascais,43
Albergaria-a-Velha,5
Sintra,43
Évora,5
Coimbra,41
Moita,5
Santa Maria da Feira,39
Bragança,4
Almada,35
Cartaxo,4
Seixal,29
Coruche,4
Loures,28
Marco de Canaveses,4
Lousada,27
Montijo,4
Braga,25
Sesimbra,4
Amadora,24
Vale de Cambra,4
Odivelas,18
Águeda,3
Oliveira de Azeméis,18
Alcochete,3
Felgueiras,17
Almeirim,3
Guimarães,17
Arcos de Valdevez,3
Oeiras,17
Barcelos,3
Vila Nova de Famalicão,14
Câmara de Lobos,3
Viseu,11
Chaves,3
Funchal,10
Condeixa-a-Nova,3
Paços de Ferreira,10
Guarda,3
Espinho,9
Lagoa (Faro),3
Faro,9
Mirandela,3
Santarém,9
Ourém,3
Setúbal,9
Pombal,3
Vila Real,9
Silves,3
Albufeira,8
Soure,3
Mafra,8
Paredes,8
