concelho,reportado_por_ARS_RA,n_casos
Lisboa,0,366
Porto,0,343
Vila Nova de Gaia,1,262
Maia,0,219
Matosinhos,0,189
Gondomar,0,153
Braga,0,152
Ovar,1,145
Valongo,0,139
Sintra,0,116
Coimbra,0,110
Santa Maria da Feira,0,103
Vila Real,0,98
Cascais,0,81
Aveiro,0,62
Seixal,0,59
Loures,0,57
Almada,0,53
Guimarães,1,51
Vila Nova de Famalicão,1,48
Oeiras,0,47
Odivelas,0,46
Oliveira de Azeméis,0,46
Amadora,0,41
Lousada,1,38
Resende,0,32
Albergaria-a-Velha,0,28
Faro,0,26
Felgueiras,1,26
Bragança,0,25
Mafra,1,24
Santo Tirso,0,24
Viana do Castelo,0,24
Albufeira,1,22
Paços de Ferreira,1,22
Vila do Conde,0,22
Paredes,0,21
Viseu,0,21
Barcelos,0,20
Santarém,0,20
Barreiro,1,18
Espinho,0,18
Portimão,0,17
Funchal,0,16
Vila Franca de Xira,1,16
Estarreja,0,15
Póvoa de Varzim,1,15
Setúbal,0,15
Vale de Cambra,0,15
Trofa,0,14
Águeda,0,13
Cartaxo,1,13
Loulé,0,13
Penafiel,0,13
Pombal,1,13
São João da Madeira,0,13
Torres Vedras,1,13
Évora,0,12
Ílhavo,1,12
Chaves,0,10
Moita,0,10
Vila Verde,0,10
Marco de Canaveses,0,9
Montijo,0,9
Amares,0,8
Arouca,0,8
Caldas da Rainha,1,8
Mirandela,0,8
Montemor-o-Velho,0,8
Almeirim,0,7
Arcos de Valdevez,0,7
Cantanhede,0,7
Esposende,0,7
Leiria,1,7
Marinha Grande,0,7
Oliveira do Bairro,0,7
Póvoa de Lanhoso,0,7
Sesimbra,0,7
Soure,1,7
Benavente,1,6
Condeixa-a-Nova,0,6
Grândola,1,6
Tomar,1,6
Fafe,0,5
Murtosa,0,5
Palmela,1,5
Ponte de Lima,1,5
Silves,0,5
Vagos,0,5
Velas,0,5
Vila Real de Santo António,0,5
Alvaiázere,0,4
Amarante,0,4
Anadia,0,4
Calheta (Açores),0,4
Câmara de Lobos,0,4
Coruche,0,4
Horta,0,4
Macedo de Cavaleiros,1,4
Nelas,0,4
Ourém,0,4
Vizela,0,4
Alcochete,0,3
Almeida,1,3
Alpiarça,0,3
Caminha,0,3
Carrazeda de Ansiães,0,3
Figueira da Foz,1,3
Lagoa (Faro),0,3
Madalena,0,3
Monção,0,3
Oliveira de Frades,0,3
Penacova,0,3
Reguengos de Monsaraz,0,3
Torre de Moncorvo,1,3
Torres Novas,1,3
Vila Pouca de Aguiar,0,3
